start,end,duration,game,subject,topic
0:05:36,0:12:36,0:07:00,Just Chatting,Just Chatting,Watching (Random memes)
0:32:59,0:42:45,0:09:46,Just Chatting,Just Chatting,"Reading (Essay ""The Parable Of The Talents"" by Scott Alexander)"
0:44:16,1:40:42,0:56:26,Just Chatting,Just Chatting,"Reading (Essay ""The Parable Of The Talents"" by Scott Alexander)"
1:42:07,1:44:07,0:02:00,Just Chatting,Just Chatting,"Reading (Twitter thread explaining why ""Destiny is a trash human being"")"
1:47:18,1:56:37,0:09:19,Just Chatting,Just Chatting,Watching (Hinkle and Rachel (BPF's wife) on Tucker Carlson)
2:00:41,2:02:44,0:02:03,AFK,Just Chatting,Destiny AFK
2:06:01,2:40:25,0:34:24,Just Chatting,Just Chatting,Watching (President Sunday/ChudLogic drama)
02:06:11,08:10:05,6:03:54,Factorio,Just Chatting,Playing Factorio
2:42:27,3:19:42,0:37:15,Factorio,Just Chatting,Watching (President Sunday/ChudLogic drama)
3:05:05,3:10:13,0:05:08,Factorio,Just Chatting,Destiny AFK
3:22:33,3:31:06,0:08:33,Factorio,Just Chatting,Destiny AFK
3:22:33,3:31:06,0:08:33,Factorio,Just Chatting,Watching (President Sunday/ChudLogic drama)
3:33:34,3:45:24,0:11:50,Factorio,Just Chatting,Watching (President Sunday's stream)
3:52:44,4:04:34,0:11:50,Factorio,Just Chatting,Watching (Random memes)
4:05:55,4:17:53,0:11:58,Factorio,Just Chatting,Destiny AFK
4:21:29,5:21:10,0:59:41,Doom Eternal,Just Chatting,Playing DOOM Eternal
5:22:13,5:24:13,0:02:00,Factorio,Just Chatting,Destiny AFK
5:24:52,7:09:16,1:44:24,Factorio,Just Chatting,Viewer Call-ins
7:14:44,7:16:40,0:01:56,Factorio,Just Chatting,Destiny AFK
7:16:40,7:23:06,0:06:26,Factorio,Just Chatting,Talking with Lycan and Ninou
7:24:32,7:26:03,0:01:31,Factorio,Just Chatting,Viewer Call-ins
7:26:03,7:50:58,0:24:55,Factorio,Just Chatting,Talking with Angela Knight (Discussing the comments she made about Destiny on TikTok)
7:52:57,8:08:01,0:15:04,Factorio,Just Chatting,Viewer Call-ins
